Millas_Por_Galon;Cilindros;Pais_Origen;Peso_En_Libras;Desplazamiento;Aceleracion;Nombre;Anyo;Caballo_De_Fuerza
18;8;USA;3504;307;12;chevrolet chevelle malibu;1/01/1970;130
15;8;USA;3693;350;11.5;buick skylark 320;1/01/1970;165
18;8;USA;3436;318;11;plymouth satellite;1/01/1970;150
16;8;USA;3433;304;12;amc rebel sst;1/01/1970;150
17;8;USA;3449;302;10.5;ford torino;1/01/1970;140
15;8;USA;4341;429;10;ford galaxie 500;1/01/1970;198
14;8;USA;4354;454;9;chevrolet impala;1/01/1970;220
14;8;USA;4312;440;8.5;plymouth fury iii;1/01/1970;215
14;8;USA;4425;455;10;pontiac catalina;1/01/1970;225
15;8;USA;3850;390;8.5;amc ambassador dpl;1/01/1970;190
NA;4;Europe;3090;133;17.5;citroen ds-21 pallas;1/01/1970;115
NA;8;USA;4142;350;11.5;chevrolet chevelle concours (sw);1/01/1970;165
NA;8;USA;4034;351;11;ford torino (sw);1/01/1970;153
NA;8;USA;4166;383;10.5;plymouth satellite (sw);1/01/1970;175
NA;8;USA;3850;360;11;amc rebel sst (sw);1/01/1970;175
15;8;USA;3563;383;10;dodge challenger se;1/01/1970;170
14;8;USA;3609;340;8;plymouth 'cuda 340;1/01/1970;160
NA;8;USA;3353;302;8;ford mustang boss 302;1/01/1970;140
15;8;USA;3761;400;9.5;chevrolet monte carlo;1/01/1970;150
14;8;USA;3086;455;10;buick estate wagon (sw);1/01/1970;225
24;4;Japan;2372;113;15;toyota corona mark ii;1/01/1970;95
22;6;USA;2833;198;15.5;plymouth duster;1/01/1970;95
18;6;USA;2774;199;15.5;amc hornet;1/01/1970;97
21;6;USA;2587;200;16;ford maverick;1/01/1970;85
27;4;Japan;2130;97;14.5;datsun pl510;1/01/1970;88
26;4;Europe;1835;97;20.5;volkswagen 1131 deluxe sedan;1/01/1970;46
25;4;Europe;2672;110;17.5;peugeot 504;1/01/1970;87
24;4;Europe;2430;107;14.5;audi 100 ls;1/01/1970;90
25;4;Europe;2375;104;17.5;saab 99e;1/01/1970;95
26;4;Europe;2234;121;12.5;bmw 2002;1/01/1970;113
21;6;USA;2648;199;15;amc gremlin;1/01/1970;90
10;8;USA;4615;360;14;ford f250;1/01/1970;215
10;8;USA;4376;307;15;chevy c20;1/01/1970;200
11;8;USA;4382;318;13.5;dodge d200;1/01/1970;210
9;8;USA;4732;304;18.5;hi 1200d;1/01/1970;193
27;4;Japan;2130;97;14.5;datsun pl510;1/01/1971;88
28;4;USA;2264;140;15.5;chevrolet vega 2300;1/01/1971;90
25;4;Japan;2228;113;14;toyota corona;1/01/1971;95
25;4;USA;2046;98;19;ford pinto;1/01/1971;NA
NA;4;Europe;1978;97;20;volkswagen super beetle 117;1/01/1971;48
19;6;USA;2634;232;13;amc gremlin;1/01/1971;100
16;6;USA;3439;225;15.5;plymouth satellite custom;1/01/1971;105
17;6;USA;3329;250;15.5;chevrolet chevelle malibu;1/01/1971;100
19;6;USA;3302;250;15.5;ford torino 500;1/01/1971;88
18;6;USA;3288;232;15.5;amc matador;1/01/1971;100
14;8;USA;4209;350;12;chevrolet impala;1/01/1971;165
14;8;USA;4464;400;11.5;pontiac catalina brougham;1/01/1971;175
14;8;USA;4154;351;13.5;ford galaxie 500;1/01/1971;153
14;8;USA;4096;318;13;plymouth fury iii;1/01/1971;150
12;8;USA;4955;383;11.5;dodge monaco (sw);1/01/1971;180
13;8;USA;4746;400;12;ford country squire (sw);1/01/1971;170
13;8;USA;5140;400;12;pontiac safari (sw);1/01/1971;175
18;6;USA;2962;258;13.5;amc hornet sportabout (sw);1/01/1971;110
22;4;USA;2408;140;19;chevrolet vega (sw);1/01/1971;72
19;6;USA;3282;250;15;pontiac firebird;1/01/1971;100
18;6;USA;3139;250;14.5;ford mustang;1/01/1971;88
23;4;USA;2220;122;14;mercury capri 2000;1/01/1971;86
28;4;Europe;2123;116;14;opel 1900;1/01/1971;90
30;4;Europe;2074;79;19.5;peugeot 304;1/01/1971;70
30;4;Europe;2065;88;14.5;fiat 124b;1/01/1971;76
31;4;Japan;1773;71;19;toyota corolla 1200;1/01/1971;65
35;4;Japan;1613;72;18;datsun 1200;1/01/1971;69
27;4;Europe;1834;97;19;volkswagen model 111;1/01/1971;60
26;4;USA;1955;91;20.5;plymouth cricket;1/01/1971;70
24;4;Japan;2278;113;15.5;toyota corona hardtop;1/01/1972;95
25;4;USA;2126;97.5;17;dodge colt hardtop;1/01/1972;80
23;4;Europe;2254;97;23.5;volkswagen type 3;1/01/1972;54
20;4;USA;2408;140;19.5;chevrolet vega;1/01/1972;90
21;4;USA;2226;122;16.5;ford pinto runabout;1/01/1972;86
13;8;USA;4274;350;12;chevrolet impala;1/01/1972;165
14;8;USA;4385;400;12;pontiac catalina;1/01/1972;175
15;8;USA;4135;318;13.5;plymouth fury iii;1/01/1972;150
14;8;USA;4129;351;13;ford galaxie 500;1/01/1972;153
17;8;USA;3672;304;11.5;amc ambassador sst;1/01/1972;150
11;8;USA;4633;429;11;mercury marquis;1/01/1972;208
13;8;USA;4502;350;13.5;buick lesabre custom;1/01/1972;155
12;8;USA;4456;350;13.5;oldsmobile delta 88 royale;1/01/1972;160
13;8;USA;4422;400;12.5;chrysler newport royal;1/01/1972;190
19;3;Japan;2330;70;13.5;mazda rx2 coupe;1/01/1972;97
15;8;USA;3892;304;12.5;amc matador (sw);1/01/1972;150
13;8;USA;4098;307;14;chevrolet chevelle concours (sw);1/01/1972;130
13;8;USA;4294;302;16;ford gran torino (sw);1/01/1972;140
14;8;USA;4077;318;14;plymouth satellite custom (sw);1/01/1972;150
18;4;Europe;2933;121;14.5;volvo 145e (sw);1/01/1972;112
